"","Estimate","Std. Error","MCMC %","z value","Pr(>|z|)","Village","Term"
"edges",-2.0206681529039,0.074833109623011,0,-27.0023277541649,1.38774696662814e-160,"M","Edges"
"b1cov.age",-0.0168203625454337,0.0309101956912015,0,-0.544168749802563,0.586325354268601,"M","Age"
"b1factor.gender.Male",-0.00568803703723342,0.0546511349218456,0,-0.104079028649042,0.917106633175167,"M","Gender[Man]"
"b1factor.vanilla.Yes",0.0809305423063824,0.0692778144394864,0,1.16820287939474,0.242724939314654,"M","Vanilla Farmer"
"b1cov.land",0.030241005411885,0.026172105076099,0,1.15546706403459,0.247899212554617,"M","Land Size"
"b1cov.size",0.0296408811225904,0.0264483006823164,0,1.12071022931196,0.262411226546805,"M","Household Size"
"b1cov.school",-0.0189651073042885,0.0307376101819502,0,-0.617000059276737,0.537234686623298,"M","School Level"
"b1cov.cgsol",0.0235595136855953,0.0296631332414832,0,0.794235507550761,0.427058341009566,"M","Commercial Goods"
"b1cov.hsol",0.091689496054428,0.032154809695894,0,2.85150174799934,0.00435132470174337,"M","House Materials"
"b2factor.species.Zebu",-2.32845846867485,0.303953490622591,0,-7.66057485934917,1.85102657171116e-14,"M","Cattle"
"b1cov.cgsol:b2factor.species.Zebu",-0.155062238665593,0.155564567350617,0,-0.996770931237236,0.318875711075559,"M","Commercial Goods: Cattle"
"b1cov.hsol:b2factor.species.Zebu",-0.255813735817455,0.143765307790191,0,-1.77938432956848,0.0751767738050964,"M","House Materials: Cattle"
"b1factor.vanilla.Yes:b2factor.species.Zebu",0.158981317828499,0.332599358299178,0,0.477996465902659,0.63265272042248,"M","Vanilla Farmer: Cattle"
"b2factor.sex.Male",0.376671117545237,0.0606370331815886,0,6.21189886413518,5.23481170447241e-10,"M","Animal Sex [Male]"
"b1degree2",0.719927494273982,0.543532098477423,0,1.32453537940204,0.185325301149905,"M","Human Degree 2"
"b1degree1",3.05701371933722,0.423122958407554,0,7.22488264603381,5.015347507244e-13,"M","Human Degree 1"
"b1degree3",0.651481976948544,0.37318770152331,0,1.74572199000468,0.0808592720744435,"M","Human Degree 3"
"edges1",-1.75059604779273,0.0460749797000869,0,-37.9945050261069,0,"A","Edges"
"b1cov.age1",0.00489223057851993,0.00905535895842553,0,0.540258050617415,0.589019083835655,"A","Age"
"b1factor.gender.Male1",0.0488047724032376,0.01766507254718,0,2.76278358171978,0.0057310752594543,"A","Gender[Man]"
"b1factor.vanilla.Yes1",0.0250361943501623,0.0369217976687548,0,0.678087090308424,0.497716475561558,"A","Vanilla Farmer"
"b1cov.land1",0.0212405472549698,0.00809374573227937,0,2.62431610252575,0.00868231642749428,"A","Land Size"
"b1cov.size1",0.00877030745564156,0.00932438555452673,0,0.94057752163453,0.346921405645545,"A","Household Size"
"b1cov.school1",-0.0152312578471903,0.00956212260814809,0,-1.59287414221309,0.111188428153731,"A","School Level"
"b1cov.cgsol1",-0.0307554405341381,0.0136097664170463,0,-2.25980664117914,0.0238332540551215,"A","Commercial Goods"
"b1cov.hsol1",0.0291805200498441,0.0129256592285327,0,2.2575653228912,0.0239727726398574,"A","House Materials"
"b2factor.species.Zebu1",-0.571738663140642,0.102580237592437,0,-5.57357515013981,2.49563922746486e-08,"A","Cattle"
"b1cov.cgsol:b2factor.species.Zebu1",-0.0100796682011622,0.0386805843311798,0,-0.260587278487341,0.794410801114824,"A","Commercial Goods: Cattle"
"b1cov.hsol:b2factor.species.Zebu1",0.0227042930736784,0.0362416381647698,0,0.626469834792099,0.531006816593177,"A","House Materials: Cattle"
"b1factor.vanilla.Yes:b2factor.species.Zebu1",0.00592969944640814,0.108467619314982,0,0.0546679228681946,0.956403024974051,"A","Vanilla Farmer: Cattle"
"b2factor.sex.Male1",0.140802595375138,0.0294656564067995,0,4.77853245253503,1.76579266045735e-06,"A","Animal Sex [Male]"
"b1degree21",12.0524812767705,0.678991242484014,0,17.750569554738,1.70614906449512e-70,"A","Human Degree 2"
"b1degree17",13.9569999865309,0.796382336270993,0,17.5255016979453,9.1530613403148e-69,"A","Human Degree 1"
"b1degree31",10.3934415204398,0.617634664568481,0,16.8278144292651,1.52633036572695e-63,"A","Human Degree 3"
"b1degree4",8.68641464594808,0.59751517995346,0,14.5375631237095,7.00419654631913e-48,"A","Human Degree 4"
"b1degree5",7.97112897994176,0.50565016605165,0,15.7641181890318,5.49337068567544e-56,"A","Human Degree 5"
"b1degree6",6.96876710294124,0.460166919384527,0,15.1439984261841,8.30096041683776e-52,"A","Human Degree 6"
"b1degree7",5.47913234260041,0.465314021545516,0,11.7751283840572,5.24372053134779e-32,"A","Human Degree 7"
"b1degree8",5.06815674900704,0.408287044986284,0,12.4132195994054,2.21560778818555e-35,"A","Human Degree 8"
"b1degree9",3.97321990743934,0.400014856880485,0,9.93268084696775,3.00077267051598e-23,"A","Human Degree 9"
"b1degree10",3.35275627950823,0.367126910783358,0,9.13241764912922,6.6986333658424e-20,"A","Human Degree 10"
"b1degree11",2.60580095055263,0.354160520570782,0,7.35768330798982,1.87129344567461e-13,"A","Human Degree 11"
"b1degree12",1.98992645463992,0.335028121314283,0,5.93958037562229,2.85752552354889e-09,"A","Human Degree 12"
"b1degree13",1.5087379550808,0.319233285803602,0,4.72612983098826,2.28839367498809e-06,"A","Human Degree 13"
"b1degree14",0.821787354576465,0.330687632646472,0,2.48508644850052,0.012951997760081,"A","Human Degree 14"
"b1degree15",0.874126837966022,0.280052712738365,0,3.1212939500524,0.00180058204633731,"A","Human Degree 15"
"b1degree16",0.66956048903485,0.262602746465858,0,2.54970863041564,0.0107812981930987,"A","Human Degree 16"
"b1degree22",-0.517213300408564,0.34465687161039,0,-1.50066150717354,0.133443133898573,"A","Human Degree 22"
"b1degree23",-1.86979967109384,0.723581469107691,0,-2.58409004503618,0.00976362999381767,"A","Human Degree 23"
"edges2",-1.68504462689543,0.0459141665139089,0,-36.6998849120996,7.33399287443861e-295,"S","Edges"
"b1cov.age2",-0.00221392815532059,0.00940336671998002,0,-0.235439946271211,0.81386728466335,"S","Age"
"b1factor.gender.Male2",0.00962137434539866,0.0188990796576465,0,0.509092216112539,0.610687587596414,"S","Gender[Man]"
"b1factor.vanilla.Yes2",-0.00435428104337819,0.0384668548235958,0,-0.11319566061084,0.909875435888263,"S","Vanilla Farmer"
"b1cov.land2",0.0131804665945027,0.00847567437918766,0,1.55509355419172,0.119923789887428,"S","Land Size"
"b1cov.size2",0.000767131170591911,0.00945571634123636,0,0.0811288265116894,0.935339501002036,"S","Household Size"
"b1cov.school2",0.00202172889627865,0.0097706546244802,0,0.206918469025939,0.836073532452065,"S","School Level"
"b1cov.cgsol2",0.0124296576063054,0.0141751283127989,0,0.876863851389799,0.380560592633822,"S","Commercial Goods"
"b1cov.hsol2",0.0225911374055562,0.0140432385653561,0,1.60868430030714,0.107685390428138,"S","House Materials"
"b2factor.species.Zebu2",-0.472919685152741,0.100316981225846,0,-4.71425355282616,2.42598425142392e-06,"S","Cattle"
"b1cov.cgsol:b2factor.species.Zebu2",-0.0361015190645731,0.0421821361872168,0,-0.855848525649432,0.392081570125257,"S","Commercial Goods: Cattle"
"b1cov.hsol:b2factor.species.Zebu2",-0.0288354056915402,0.0413371223249335,0,-0.697566837499654,0.485448126843835,"S","House Materials: Cattle"
"b1factor.vanilla.Yes:b2factor.species.Zebu2",-0.0763848407912297,0.109249205948777,0,-0.699179825865678,0.484439656649923,"S","Vanilla Farmer: Cattle"
"b2factor.sex.Male2",0.185378583279714,0.0347145062756892,0,5.34008986927565,9.29005173387292e-08,"S","Animal Sex [Male]"
"b2factor.sex.unknown",-0.911493418375379,0.263544746536798,0,-3.45859073403351,0.000543009338196748,"S","Animal Sex [Unknown]"
"b1degree24",10.6832366368924,0.598149229637181,0,17.8604871619955,2.39539450299557e-71,"S","Human Degree 2"
"b1degree18",12.806740239002,0.648979215228243,0,19.7336677947351,1.10829906905143e-86,"S","Human Degree 1"
"b1degree32",9.76921100251116,0.453380106142002,0,21.5475069818158,5.58755726397998e-103,"S","Human Degree 3"
"b1degree41",7.79098519951905,0.467903113327596,0,16.6508513784227,2.98327702143499e-62,"S","Human Degree 4"
"b1degree51",6.97909926782453,0.400226693260317,0,17.4378655530734,4.25677323170423e-68,"S","Human Degree 5"
"b1degree61",6.00492367552162,0.364955984083626,0,16.4538298792373,7.8728644689628e-61,"S","Human Degree 6"
"b1degree71",5.0726470059061,0.339875088350009,0,14.9250332836463,2.26522534787402e-50,"S","Human Degree 7"
"b1degree81",4.16458472262534,0.322909710050616,0,12.8970563380474,4.67620921598956e-38,"S","Human Degree 8"
"b1degree91",3.3779977319205,0.302552779846576,0,11.1649865971599,6.05003247795665e-29,"S","Human Degree 9"
"b1degree101",2.4909661057466,0.301395072502114,0,8.26478709511458,1.39944278298898e-16,"S","Human Degree 10"
"b1degree111",1.59200193873039,0.319104192062399,0,4.98897218629795,6.07013849596483e-07,"S","Human Degree 11"
